 INFO:2018-04-04 17:03:15,559 - host#0:0:0:0:0:0:0:1#/DataProduct
 INFO:2018-04-04 17:03:34,146 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:36,906 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:39,662 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:40,245 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:40,527 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:40,794 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:41,074 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:41,334 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:04:41,647 - host#0:0:0:0:0:0:0:1#/DataProduct/index
 INFO:2018-04-04 17:05:02,489 - host#127.0.0.1#/DataProduct/index
 INFO:2018-04-04 17:05:02,921 - host#127.0.0.1#/favicon.ico
 INFO:2018-04-04 17:07:22,035 - host#127.0.0.1#/DataProduct/welcome
 INFO:2018-04-04 17:07:37,594 - host#127.0.0.1#/DataProduct//DataFactoryControlle/welcome
 INFO:2018-04-04 17:07:43,730 - host#127.0.0.1#/DataProduct/DataFactoryControlle/welcome
 INFO:2018-04-04 17:08:28,908 - host#127.0.0.1#/DataProduct/DataFactoryControlle/welcome
 INFO:2018-04-04 17:08:28,952 - host#127.0.0.1#/favicon.ico
 INFO:2018-04-04 17:08:55,399 - host#127.0.0.1#/DataProduct/DataFactoryControlle/welcome
 INFO:2018-04-04 17:08:55,562 - host#127.0.0.1#/favicon.ico
 INFO:2018-04-04 17:09:15,382 - host#127.0.0.1#/DataFactoryControlle/welcome
 INFO:2018-04-04 17:09:15,895 - host#127.0.0.1#/js/common/jquery-1.8.3.min.js
 INFO:2018-04-04 17:09:15,906 - host#127.0.0.1#/img/index/run1.png
 INFO:2018-04-04 17:09:15,996 - host#127.0.0.1#/img/index/run3.png
 INFO:2018-04-04 17:09:16,057 - host#127.0.0.1#/img/index/run2.png
 INFO:2018-04-04 17:09:16,077 - host#127.0.0.1#/img/index/run5.png
 INFO:2018-04-04 17:09:16,114 - host#127.0.0.1#/img/index/run4.png
 INFO:2018-04-04 17:09:16,188 - host#127.0.0.1#/img/foot/foot.png
 INFO:2018-04-04 17:09:58,573 - host#127.0.0.1#/userController/userLogin
 INFO:2018-04-04 17:12:03,095 - host#127.0.0.1#/DataFactoryControlle/welcome
 INFO:2018-04-04 17:12:03,869 - host#127.0.0.1#/js/common/jquery-1.8.3.min.js
 INFO:2018-04-04 17:12:03,969 - host#127.0.0.1#/img/index/run2.png
 INFO:2018-04-04 17:12:04,036 - host#127.0.0.1#/img/foot/foot.png
 INFO:2018-04-04 17:12:04,053 - host#127.0.0.1#/img/index/run1.png
 INFO:2018-04-04 17:12:04,113 - host#127.0.0.1#/img/index/run5.png
 INFO:2018-04-04 17:12:04,172 - host#127.0.0.1#/img/index/run4.png
 INFO:2018-04-04 17:12:04,221 - host#127.0.0.1#/img/index/run3.png
 INFO:2018-04-04 17:12:04,953 - host#127.0.0.1#/favicon.ico
